"source_line","risk","gate","route","size","impact","context","title"
"191","1","none","auto","S","9","consent-erasure-privacy","Scrub parsingNotes so Art. 17 erasure cannot leave the CV name in metadata"
"201","1","none","auto","S","9","analyze-workspace","Honor the analyses list truncated flag on HistoryTab"
"337","1","none","auto","S","9","decisions-review-ui","Surface screen-wave sealFailures after a commit"
"448","1","none","auto","S","9","jd-public-detail-page","Hide Analyze CV and job-board Publish from anonymous visitors"
"451","1","none","auto","S","9","jd-public-detail-page","Hide Apply when the JD is archived even if the job is still open"
"8","1","none","auto","S","8","app-master-bench-scenarios","Fill soak memory from the roster rollup each night"
"16","1","none","auto","S","8","companion-appmaster","Flag a repo dossier stale from generated_at"
"25","1","none","auto","S","8","llm-api","Echo failedCalls on GET /api/llm/usage the activity ledger already counts"
"36","1","none","auto","S","8","models-keys-and-routing","Persist the Models section switcher in the URL"
"39","1","none","auto","S","8","pipeline-core","Give market_salary_cli the shared emit_error envelope"
"40","1","none","auto","S","8","pipeline-core","Document and pin service.analyze lang as all four locales"
"43","1","none","auto","S","8","pipeline-core","Rewrite automation.py's Claude-CLI-only runtime claim"
"44","1","none","auto","S","8","tests-companion-voice","Pin GeminiEmbeddingProvider.available() under KP_OFFLINE"
"45","1","none","auto","S","8","tests-companion-voice","Cover data_ai and product_project in align_candidates_csas tests"
"48","1","none","auto","S","8","tests-companion-voice","Pin App-master coerce reports every dropped hallucinated connector"
"55","1","none","auto","S","8","tests-pipeline-automation","Import shared ERROR_CODES in campaign_cli and repo_scan_cli"
"57","1","none","auto","S","8","tests-pipeline-automation","Pin service.analyze docstring against shipped LOCALES"
"58","1","none","auto","S","8","tests-pipeline-automation","Pin seed_jobs does not construct ClaudeCliProvider"
"82","1","none","auto","S","8","ops-observability","Surface ops-warn.log on GET /api/ops"
"106","1","none","auto","S","8","billing-plan-and-spend","Fire checkout_completed when the webhook-backed banner confirms"
"116","1","none","auto","S","8","about-page","Emit JSON-LD AboutPage + SoftwareApplication on /about"
"117","1","none","auto","S","8","about-page","Emit BreadcrumbList JSON-LD for Home to About the app"
"127","1","none","auto","S","8","candidate-apply-flow","Add visibleStepProgress() for candidate-facing step counts"
"137","1","none","auto","S","8","quick-apply-flow","Make a quick-apply decline recoverable in place"
"138","1","none","auto","S","8","quick-apply-flow","Keep LanguageSwitcher on the closed-role quick-apply card"
"140","1","none","auto","S","8","quick-apply-flow","Let the candidate copy the status link on the quick-apply done card"
"148","1","none","auto","S","8","saved-analysis-report","Format saved-report timestamps in the reader's locale, not the host's"
"149","1","none","auto","S","8","saved-analysis-report","Localize the saved-report subtitle's role-family and seniority slugs"
"150","1","none","auto","S","8","saved-analysis-report","Show JD title and score on the cross-job footprint, not raw slugs"
"153","1","none","auto","S","8","skill-profile-public-page","Add per-state body copy for revoked, tampered, and unverifiable cards"
"154","1","none","auto","S","8","skill-profile-public-page","Localize capability axis names on the public skill credential"
"157","1","none","auto","S","8","skill-profile-public-page","Add a print action to the public skill credential"
"159","1","none","auto","S","8","tests-scoring-fairness","Extend fallback stopwords to Czech generic role nouns"
"161","1","none","auto","S","8","tests-scoring-fairness","Pin seeded analyses as engineKind=deterministic in the hygiene suite"
"169","1","none","auto","S","8","matrix-focus","Show the unproven skill bucket in role compare"
"171","1","none","auto","S","8","matrix-focus","Include unproven skills in the match CSV export"
"172","1","none","auto","S","8","matrix-focus","Format the stale-profile banner date with useFormatter"
"177","1","none","auto","S","8","matrix-grid","Render missingJobs and blocked reasons in the grid CSV"
"178","1","none","auto","S","8","tests-matching-taxonomy","Pin score_motivation whole-token fairness"
"180","1","none","auto","S","8","tests-matching-taxonomy","Pin remaining Czech feminine taxonomy pairs"
"181","1","none","auto","S","8","tests-matching-taxonomy","Pin winnability looseGates for seniority and work-mode"
"182","1","none","auto","S","8","tests-matching-taxonomy","Pin the university-education knockout harm as a gate"
"217","1","none","auto","S","8","results-core","Offer ReportActions on the live result once persistence.slug exists"
"219","1","none","auto","S","8","results-core","Show a needs-review chip when archetype vote-share is below 0.55"
"220","1","none","auto","S","8","results-core","Render PotentialBadge on ArchetypeBanner when v2Profile has potentialScore"
"222","1","none","auto","S","8","results-detail-tabs","Copy the interview kit to the clipboard"
"224","1","none","auto","S","8","results-detail-tabs","Import soft-signals into the interview prep pack"
"225","1","none","auto","S","8","results-detail-tabs","Show candidate vs role seniority when the salary read used the candidate band"
"226","1","none","auto","S","8","score-metric-display","Give ScoreBadge an accessible name"
"227","1","none","auto","S","8","score-metric-display","Expose FactorChart as an accessible data table"
"229","1","none","auto","S","8","score-metric-display","Show ScoreProvenanceLabel beside History scores"
"230","1","none","auto","S","8","score-metric-display","Place PotentialBadge next to ScoreDial on ExtractionTab"
"234","1","none","auto","S","8","screening-fairness","Deep-link family-floor chips from the rules modal to the calibration editor"
"235","1","none","auto","S","8","screening-fairness","Explain the early-career auto-reject shield on the rules modal"
"236","1","none","auto","S","8","tests-cv-extraction","Add Czech authenticity buzzword fixtures to the gated suite"
"237","1","none","auto","S","8","tests-cv-extraction","Pin scanned-PDF empty text with a synthetic fixture"
"238","1","none","auto","S","8","tests-cv-extraction","Measure the Czech-without-Ĺ  charset remaining gap"
"239","1","none","auto","S","8","tests-cv-extraction","Pin master's vs university classification on Czech and EN headers"
"240","1","none","auto","S","8","tests-cv-extraction","Pin v2Profile.potential_score populated after analyze routing"
"251","1","none","auto","S","8","db-org-users-channels","Sweep pending invites past expires_at so the roster cannot show live ghosts"
